target,height_cm,trial,u_gt,v_gt,u_mean,v_mean,u_std,v_std,n_samples,error_mm,latency_mean_ms,latency_std_ms
1,50,3,0.206,0.222,0.1602,0.1664,0.0093,0.0635,104,51.3,61.3,18.3
1,50,4,0.206,0.222,0.152,0.1394,0.0112,0.0782,63,67.6,60.7,19.0
1,50,5,0.206,0.222,0.1654,0.2129,0.0103,0.0706,212,34.9,56.8,13.1
2,50,1,0.5,0.222,0.45,0.2702,0.0131,0.1501,153,51.4,60.1,18.1
2,50,2,0.5,0.222,0.441,0.3156,0.0085,0.0498,132,75.3,61.3,18.1
2,50,3,0.5,0.222,0.4416,0.3128,0.0047,0.0426,131,73.7,59.0,16.6
2,50,4,0.5,0.222,0.4486,0.1877,0.0041,0.022,97,48.3,62.2,19.0
2,50,5,0.5,0.222,0.4353,0.2486,0.0086,0.0372,176,57.3,59.8,17.1
3,50,1,0.794,0.222,0.768,0.2904,0.0071,0.0631,126,46.6,59.5,16.5
3,50,2,0.794,0.222,0.768,0.3595,0.0053,0.0842,65,85.4,63.8,19.6
3,50,3,0.794,0.222,0.7756,0.2568,0.0031,0.0355,137,26.1,61.9,17.5
3,50,4,0.794,0.222,0.7692,0.3073,0.0061,0.0465,120,55.3,58.6,18.4
3,50,5,0.794,0.222,0.7648,0.3246,0.0042,0.0439,279,66.4,59.6,18.8
4,50,1,0.206,0.5,0.1477,0.32,0.0084,0.021,95,118.9,60.3,14.4
4,50,2,0.206,0.5,0.1397,0.2644,0.0038,0.0159,76,152.2,56.2,16.4
4,50,3,0.206,0.5,0.1583,0.4207,0.0031,0.082,101,62.5,62.3,18.7
4,50,4,0.206,0.5,0.1612,0.3744,0.0043,0.058,117,84.5,59.4,16.8
4,50,5,0.206,0.5,0.1587,0.4165,0.0061,0.0399,139,64.2,57.7,18.1
5,50,1,0.5,0.5,0.4367,0.4521,0.01,0.1334,176,61.0,58.1,16.1
5,50,2,0.5,0.5,0.4247,0.4636,0.0047,0.074,105,67.6,57.9,14.7
5,50,3,0.5,0.5,0.4569,0.4063,0.0061,0.0618,23,67.1,50.9,6.7
5,50,4,0.5,0.5,0.429,0.5064,0.0057,0.0333,77,60.5,56.4,14.8
5,50,5,0.5,0.5,0.4084,0.6142,0.0079,0.0608,146,103.7,57.2,17.4
6,50,1,0.794,0.5,0.791,0.5293,0.0092,0.0128,93,17.8,58.9,18.5
6,50,2,0.794,0.5,0.7853,0.5557,0.0107,0.0233,73,34.2,60.6,17.9
6,50,3,0.794,0.5,0.7824,0.5721,0.0044,0.0171,80,44.3,61.1,16.3
6,50,4,0.794,0.5,0.7748,0.561,0.0036,0.0289,132,40.0,60.6,17.7
6,50,5,0.794,0.5,0.7714,0.5211,0.0027,0.0174,134,23.0,56.7,14.8
7,50,1,0.206,0.778,0.171,0.6988,0.0103,0.0371,127,56.1,63.2,18.2
7,50,2,0.206,0.778,0.1686,0.6965,0.0043,0.0303,84,58.3,58.8,16.0
7,50,3,0.206,0.778,0.1679,0.7242,0.0041,0.0487,86,45.7,58.9,16.3
7,50,4,0.206,0.778,0.1657,0.7383,0.0061,0.0376,145,41.8,58.9,15.8
7,50,5,0.206,0.778,0.1616,0.732,0.0031,0.0318,83,46.7,59.9,16.4
